Date|Value
03/30/2024 07:10:10|14.5
03/30/2024 07:25:10|14.5
03/30/2024 07:40:10|14.5
03/30/2024 07:55:10|14.6
03/30/2024 08:10:10|14.6
03/30/2024 08:25:10|14.7
03/30/2024 08:40:10|14.7
03/30/2024 08:55:10|14.7
03/30/2024 09:10:10|14.8
03/30/2024 09:25:10|14.9
03/30/2024 09:40:10|14.9
03/30/2024 09:55:09|14.9
03/30/2024 10:10:09|15
03/30/2024 10:25:09|15.1
03/30/2024 10:40:09|15.1
03/30/2024 10:55:09|15.3
03/30/2024 11:10:09|15.5
03/30/2024 11:25:09|15.5
03/30/2024 11:40:09|15.5
03/30/2024 11:55:09|15.5
03/30/2024 12:10:09|15.6
03/30/2024 12:25:09|15.6
03/30/2024 12:40:09|15.7
03/30/2024 12:55:09|15.7
03/30/2024 13:10:09|15.8
03/30/2024 13:25:09|16
03/30/2024 13:40:09|16.4
03/30/2024 13:55:09|16.2
03/30/2024 14:10:09|16.2
03/30/2024 14:25:09|16.2
03/30/2024 14:40:09|16.2
03/30/2024 14:55:08|16.3
03/30/2024 15:10:08|16.3
03/30/2024 15:25:08|16.3
03/30/2024 15:40:08|16.3
03/30/2024 15:55:08|16.3
03/30/2024 16:10:08|16.3
03/30/2024 16:25:08|16.3
03/30/2024 16:40:08|16.3
03/30/2024 16:55:08|16.4
03/30/2024 17:10:08|16.4
03/30/2024 17:25:08|16.5
03/30/2024 17:40:08|16.5
03/30/2024 17:55:08|16.5
03/30/2024 18:10:08|16.5
03/30/2024 18:25:08|16.5
03/30/2024 18:40:08|16.5
03/30/2024 18:55:08|16.5
03/30/2024 19:10:08|16.5
03/30/2024 19:25:08|16.5
03/30/2024 19:40:08|16.6
03/30/2024 19:55:08|16.5
03/30/2024 20:10:07|16.6
03/30/2024 20:25:07|16.6
03/30/2024 20:40:07|16.6
03/30/2024 20:55:07|16.6
03/30/2024 21:10:07|16.6
03/30/2024 21:25:07|16.6
03/30/2024 21:40:07|16.5
03/30/2024 21:55:07|16.6
03/30/2024 22:10:07|16.6
03/30/2024 22:25:07|16.6
03/30/2024 22:40:07|16.6
03/30/2024 22:55:07|16.6
03/30/2024 23:10:07|16.6
03/30/2024 23:25:07|16.6
03/30/2024 23:40:07|16.6
03/30/2024 23:55:07|16.6
03/31/2024 00:10:07|16.6
03/31/2024 00:25:07|16.6
03/31/2024 00:40:07|16.6
03/31/2024 00:55:07|16.6
03/31/2024 01:10:06|16.6
03/31/2024 01:25:06|16.6
03/31/2024 01:40:06|16.6
03/31/2024 01:55:06|16.6
03/31/2024 02:10:06|16.5
03/31/2024 02:25:06|16.6
03/31/2024 02:40:06|16.5
03/31/2024 02:55:06|16.6
03/31/2024 03:10:06|16.6
03/31/2024 03:25:06|16.5
03/31/2024 03:40:06|16.5
03/31/2024 03:55:06|16.5
03/31/2024 04:10:06|16.5
03/31/2024 04:25:06|16.5
03/31/2024 04:40:06|16.5
03/31/2024 04:55:06|16.5
03/31/2024 05:10:06|16.5
03/31/2024 05:25:06|16.6
03/31/2024 05:40:06|16.7
03/31/2024 05:55:06|16.8
03/31/2024 06:10:05|16.8
03/31/2024 06:25:05|16.8
03/31/2024 06:40:05|16.7
03/31/2024 06:55:05|16.8
03/31/2024 07:10:05|16.8
03/31/2024 07:25:05|16.8
03/31/2024 07:40:05|16.8
03/31/2024 07:55:05|16.8
03/31/2024 08:10:05|16.8
